eventTime = 859447848 k = 453 startTime =
    [
      1443,      1484,      1486,      3200,      3571,      5164,
      5199,      5227,      5296,      5341,      5361,      18028,
      20190,     20238,     20239,     20246,     20377,     20801,
      20822,     68188,     70959,     72229,     72231,     72555,
      76167,     76579,     79323,     100300,    100376,    100519,
      100521,    100523,    101925,    102960,    102963,    103084,
      103147,    103164,    103169,    103172,    103173,    103896,
      103927,    103951,    173826,    175134,    175791,    183854,
      184121,    185637,    185667,    188822,    189492,    189495,
      189508,    189569,    189599,    189607,    189716,    189717,
      190028,    190362,    191938,    192037,    192773,    199971,
      200053,    200745,    200784,    203330,    203358,    203360,
      203375,    203390,    203446,    203494,    203756,    203802,
      203881,    203934,    209417,    210274,    210805,    211599,
      211918,    212420,    212451,    212653,    212654,    212665,
      212701,    212702,    212703,    212704,    212705,    212706,
      212708,    212709,    213473,    213531,    213556,    213622,
      214261,    214449,    214540,    214550,    214551,    214695,
      262992,    262994,    263004,    263005,    263006,    263008,
      263214,    263227,    263235,    263236,    263238,    263242,
      263272,    263276,    263288,    263296,    263297,    263313,
      263314,    263315,    339471,    341799,    342100,    342194,
      342407,    342480,    383582,    409484,    410636,    416587,
      448624,    448697,    449018,    449261,    449470,    451917,
      451923,    451948,    451951,    451968,    452081,    452156,
      452197,    452198,    452203,    453904,    453934,    453987,
      454171,    454275,    454276,    454668,    454674,    454676,
      454679,    454682,    454685,    454686,    454687,    454730,
      458778,    459850,    461697,    461897,    461901,    461902,
      461941,    462044,    462065,    478851,    487307,    488365,
      488528,    488594,    520977,    520978,    520980,    520981,
      520996,    521037,    521154,    522232,    522763,    522784,
      522792,    523026,    523038,    523129,    523131,    523133,
      523134,    523135,    523136,    523137,    534395,    534406,
      534407,    534454,    534455,    534457,    534535,    534541,
      534545,    534546,    534686,    534716,    534751,    534787,
      534816,    534817,    534818,    535037,    535045,    535050,
      535051,    535057,    535060,    535063,    535064,    535065,
      535689,    535806,    535823,    535824,    535826,    535832,
      535833,    535834,    535844,    1508362,   1508400,   1508401,
      1508439,   1508456,   1508553,   1508554,   1508563,   1508591,
      1508593,   1508594,   1508597,   1508612,   1508616,   1508617,
      1508688,   1508694,   1508695,   1508696,   1508842,   1508867,
      1508871,   1508903,   1508904,   1508905,   1508955,   1508962,
      1508989,   1513678,   1513694,   1513695,   1513698,   1513798,
      1513834,   1514251,   1514266,   1514268,   1514269,   1514272,
      1514300,   1514326,   1514341,   1514344,   1514346,   1514590,
      1514657,   1514658,   1514877,   1514878,   1514879,   1514881,
      1514884,   1514885,   1514923,   1514925,   1514926,   1514930,
      1514933,   1526086,   1526151,   1526259,   1526282,   1526439,
      1526440,   1526456,   1526462,   1526463,   1526464,   1526556,
      1526568,   1526575,   1526576,   1526577,   1527789,   1527915,
      1531190,   1531191,   1531193,   1531195,   1531197,   1531201,
      1531202,   1531203,   1531204,   1531533,   1531534,   1531536,
      1531543,   1531545,   1531546,   1531553,   1531554,   1531555,
      1531556,   1559887,   1561485,   1578856,   1581084,   1583673,
      1602522,   1602978,   1603482,   1603509,   1603521,   1603522,
      1604150,   1604193,   1604195,   1604249,   1604253,   1604257,
      1604258,   1796056,   1796195,   1796206,   1796208,   1796214,
      1796881,   1796901,   1796905,   1796906,   1797215,   1799916,
      1799962,   1799991,   1800934,   1800935,   1800980,   1800982,
      1800984,   1800985,   1808430,   1809022,   1809033,   1809153,
      1811316,   1811344,   1811347,   1811360,   1811361,   1811362,
      1811368,   1811414,   1811469,   1811470,   1811471,   1811927,
      1812237,   1812248,   1812254,   1812260,   1812369,   1812474,
      1812539,   1812541,   1812542,   1812543,   1812550,   5298690,
      5539281,   5542598,   5544342,   5547296,   5548256,   5550256,
      5550380,   5550431,   5550461,   5550553,   5550556,   5550557,
      5550683,   7778055,   7778141,   7778170,   7778171,   7778341,
      7778461,   7778885,   7778970,   7779532,   7779701,   7779702,
      7779721,   7779722,   7779724,   7779725,   7779726,   7783143,
      7783466,   7785149,   7876897,   7886957,   7887148,   7894635,
      7898645,   7899912,   7900275,   7900404,   7900423,   7940026,
      7945112,   7946928,   7951839,   7955577,   7956588,   8092053,
      8093247,   8099568,   8107176,   8110347,   8112773,   8113026,
      8198242,   8198244,   8198245,   8198447,   8198458,   8198460,
      8198461,   8198464,   8198727,   8198766,   8199374,   8199383,
      8199488,   8199692,   8200040,   8200175,   8201384,   8201391,
      8201392,   8201533,   8201560,   8201562,   8201563,   8201605,
      8201608,   8201609,   8201630,   8201631,   8201640,   8201641,
      8201642,   8201643,   8201647,   8250600,   8253817,   8281040,
      8281041,   8281063,   8281106,   8281130,   8281161,   8281162,
      8281334,   8281505,   8281761,   8281927,   8281935,   8281936,
      8287322,   8287324,   8287327,   8287603,   8287611,   8287619,
      8287630,   8287648,   8287766,   8288051,   8288977,   8289051,
      8289153,   8289168,   8326897,   8327971,   8330464,   8330491,
      8330732,   8330737,   8330751,   8333447,   8333603,   8334132,
      8334950,   8353962,   8354363,   8354382,   8354400,   8355425,
      8355444,   8355859,   8356890,   8356966,   8356973,   8357102,
      8357105,   8357111,   8372400,   8372531,   8372554,   8372556,
      8372565,   8372635,   8372645,   8372658,   8372661,   8372668,
      8372669,   8372670,   8372671,   8372672,   8372674,   8372689,
      8372691,   8372692,   8372693,   8372694,   8372695,   8372699,
      8373879,   8374020,   8374063,   8374081,   8374085,   8374095,
      8374176,   8374193,   8375163,   8375194,   8375197,   8375208,
      8375210,   8375211,   8375213,   8375214,   8375215,   8375216,
      8375217,   8375218,   8375219,   8375556,   8375569,   8375570,
      8375571,   8375589,   8375590,   8375596,   8375597,   8375598,
      8375630,   8375646,   8375647,   8375734,   8375736,   8375742,
      8375743,   8375745,   8375746,   8375747,   8375748,   8375749,
      8375795,   8375798,   8375799,   8375800,   8375801,   8375892,
      8375893,   8375977,   8375978,   8375981,   8376377,   8376761,
      8377014,   8377826,   8377841,   8377842,   8377879,   8377880,
      8377891,   8377892,   8377894,   8377895,   8378052,   8378053,
      8378063,   8378081,   8378104,   8378105,   8378114,   8378117,
      8378130,   8836228,   8853018,   8858242,   8860634,   8861927,
      8862974,   8863036,   8863083,   8863107,   8864132,   8864455,
      8864580,   8864594,   8865600,   8865601,   8865602,   8865618,
      8865649,   9020964,   9020965,   9020970,   9020972,   9020989,
      9020990,   9021057,   9021059,   9021063,   9021065,   9021068,
      9021074,   9021309,   9021313,   9021403,   9021427,   9021442,
      9021468,   9021493,   9021518,   9021552,   9021582,   9021586,
      10040393,  10161169,  10215096,  10215102,  10215117,  10215146,
      10217187,  10223990,  10225160,  10226359,  10226410,  10226423,
      10250068,  10253654,  10253699,  10253775,  10253777,  10262006,
      10264121,  10272635,  10272637,  10277100,  10281797,  10287717,
      10289640,  10301190,  10301242,  10301243,  10301294,  10301299,
      10301503,  10301508,  10301510,  10301511,  10301512,  10301513,
      10301517,  10308906,  10311003,  10311052,  10311612,  10311955,
      10311982,  10312322,  10312364,  10312465,  10312478,  10312479,
      10312481,  10312550,  10312560,  10312568,  10333474,  10334495,
      10335924,  10336096,  10336108,  10493447,  10519460,  10551110,
      10551857,  10564253,  10564709,  10564757,  10564788,  10564849,
      10564859,  10564897,  10571438,  10663195,  10663685,  10668499,
      10711633,  10711905,  10712367,  10712373,  10712397,  10714938,
      10714963,  10715003,  10715023,  10715030,  10715032,  10715036,
      10715054,  10837041,  10839661,  10840451,  10869690,  10901678,
      10902367,  10902385,  10902386,  10902398,  10902420,  10902449,
      10902475,  10902517,  10902544,  10902547,  10902619,  10902623,
      10902629,  10918290,  10918291,  10918292,  10918371,  10918377,
      10918396,  10918602,  10918636,  10918641,  10961761,  10978632,
      10980973,  10983960,  10984178,  10984179,  10984187,  10984188,
      10988158,  10988235,  10988383,  10989108,  10990095,  10990112,
      10990116,  10990726,  10990728,  10990729,  10991846,  10991879,
      10991880,  10991886,  10991891,  10991892,  10991895,  10992118,
      10992879,  10992897,  10993260,  10993343,  10993357,  10993392,
      10994289,  10994486,  10994491,  10994501,  10994564,  10996358,
      10996359,  10996375,  10996385,  10996394,  10996404,  10996772,
      10996776,  10996778,  10996790,  10996794,  10996830,  10996831,
      10996834,  10996835,  11017363,  11017663,  11020888,  11020905,
      11020906,  11020912,  11021096,  11021132,  11023598,  11023606,
      11023611,  11023704,  11024233,  11024272,  11024279,  11026725,
      11029990,  11030048,  11099295,  11099300,  11099301,  11099310,
      11099311,  11100609,  11105552,  11105587,  11105843,  11135119,
      11177928,  11177988,  11188694,  11321647,  11330387,  11347136,
      11460217,  11468378,  11505110,  11516912,  11520703,  11520995,
      11522909,  11524313,  11524339,  11551404,  11551756,  11551899,
      11552950,  11553125,  11553217,  11553693,  11556369,  11556993,
      11557018,  11557021,  11557025,  11557026,  11557027,  11557029,
      11578624,  11579856,  11580549,  11582622,  11584710,  11584935,
      11587377,  11587399,  11587775,  11588053,  11588094,  11588095,
      11588099,  11588177,  11588182,  11588199,  11588200,  11588202,
      11588208,  11588212,  11588213,  11588273,  11588276,  11590472,
      11590480,  11590499,  11590508,  11590509,  11590521,  11590524,
      11590525,  11590526,  11590574,  11590576,  11590607,  11590611,
      11590612,  11590614,  11590623,  11590625,  11590626,  11590627,
      11590629,  11590630,  11590631,  11590635,  11624991,  11675569,
      11804046,  11810149,  11858096,  11858114,  11858115,  11858116,
      11858118,  13304091,  13304095,  13304097,  13304101,  13304104,
      13304105,  13304106,  13304108,  13304118,  13304119,  13304142,
      13304143,  13304145,  13304151,  13304153,  13304154,  13304225,
      13304226,  13304230,  13304231,  13304232,  13304235,  13310078,
      13310087,  13310089,  13310183,  13310184,  13310188,  13310234,
      13310247,  13310474,  13310499,  13310559,  13310690,  13310750,
      13310753,  13310800,  13310808,  13310817,  13310835,  13310836,
      13310839,  13310960,  13310974,  13312691,  13312700,  13312701,
      13312717,  13312719,  13312721,  13312728,  13312744,  13312745,
      13312748,  13312749,  13312750,  13312775,  13312777,  13312778,
      13312780,  13312781,  13312810,  13312811,  13312812,  13312822,
      13312823,  13312826,  13312829,  13312830,  13312831,  13312833,
      13313369,  13313370,  13313371,  13313372,  13313499,  13313506,
      13313507,  21510326,  21514302,  21515048,  21635765,  21655505,
      21660393,  21661583,  21661616,  21661645,  21661650,  21661680,
      21661684,  21679115,  21690045,  21692678,  21834504,  21834539,
      21834663,  21837319,  21838532,  21839724,  21839762,  21840064,
      21844201,  21844401,  21844663,  21844806,  21846506,  21846510,
      21846658,  21846666,  21846921,  21846943,  21847648,  21847674,
      21847715,  21848055,  21848066,  21848067,  21848088,  21848092,
      21848095,  21848096,  21903394,  21903810,  21903817,  21903818,
      21904084,  21906296,  21908076,  21908104,  21908114,  21908116,
      21908171,  21908189,  21923429,  21923503,  21923646,  21923693,
      21923696,  21923699,  21948516,  21952759,  21952948,  21952979,
      21970788,  21972048,  21972177,  21974622,  21974989,  21975454,
      22099647,  22100492,  22100790,  22100798,  22101024,  22101198,
      22104285,  22104286,  22104290,  22104291,  22104386,  22104417,
      22104424,  22104454,  22105052,  22105094,  22105147,  22105204,
      22105231,  22105232,  22105284,  22105286,  22105299,  22105302,
      22105308,  22105310,  22106021,  22106022,  22106047,  22106053,
      22106054,  22106055,  22106056,  22106204,  22106207,  22106212,
      22106213,  22106301,  22106302,  22106309,  22106313,  22106336,
      22106753,  22106772,  22106773,  22106946,  22107025,  22107047,
      22107058,  22107060,  22107061,  22107077,  22107086,  22107087,
      22107089,  22107535,  22107538,  22107543,  22107611,  22107662,
      22108693,  22108697,  22108720,  22108752,  22108754,  22108756,
      22108806,  22108817,  22108923,  22108931,  22108932,  22108940,
      22108941,  22108942,  22108970,  22108977,  22108996,  22108997,
      22108998,  22109046,  22109049,  22109050,  22109051,  22109061,
